cora0.05,106,108,17,50,184,17,264,24,770,776,0.891236033519553
cora0.05,93,117,13,26,5844,15,180,24,6312,6327,0.891236033519553
cora0.05,106,120,17,25,5969,9,189,19,6454,6464,0.891236033519553
cora0.05,100,109,12,25,4404,20,153,33,4856,4865,0.891236033519553
cora0.05,88,148,19,33,1717,54,631,68,2758,2763,0.9679934823091247
cora0.05,80,103,16,43,1747,42,578,48,2657,2667,0.9679934823091247
cora0.05,124,149,19,41,1974,64,576,53,3000,3007,0.9679934823091247
cora0.05,111,130,14,35,1832,37,555,48,2762,2770,0.9679934823091247
cora0.05,78,98,18,31,22637,38,513,34,23447,23456,0.9679934823091247
cora0.05,110,128,13,34,2158,46,593,33,3115,3123,0.9679934823091247
cora0.05,124,129,16,50,2282,50,633,43,3327,3333,0.9679934823091247
cora0.05,103,153,14,43,2397,66,570,35,3381,3395,0.9679934823091247
cora0.05,161,184,20,46,2784,76,662,45,3978,3990,0.9679934823091247
cora0.05,122,157,14,44,2371,44,586,38,3376,3394,0.9679934823091247
cora0.05,109,128,10,34,1999,37,547,28,2892,2898,0.9679934823091247
cora0.05,117,145,13,44,2242,50,535,48,3194,3204,0.9679934823091247
cora0.05,98,118,11,33,1956,38,513,37,2804,2810,0.9679934823091247
cora0.05,99,123,12,34,1497,36,505,29,2335,2340,0.9679934823091247
cora0.05,90,114,17,29,1556,35,551,40,2432,2440,0.9679934823091247
cora0.05,95,115,20,31,1600,37,549,35,2482,2488,0.9679934823091247
cora0.05,104,133,13,43,2039,55,546,31,2964,2975,0.9679934823091247
cora0.05,87,98,8,22,5221,21,462,29,5948,5956,0.9679934823091247
restaurant0.05,49,88,8,12,175,19,6,3,360,364,0.8839285714285714
restaurant0.05,52,78,13,13,176,11,12,4,359,362,0.7589285714285714
restaurant0.05,53,94,9,10,148,11,2,0,327,332,0.8303571428571429
restaurant0.05,67,89,8,12,38,8,39,14,275,282,1.0
